OrderID,OrderDate,StoreName,Region,SKU,Units,UnitPrice
ORD-1001,2026-07-03,Metro Center Store,South,SKU-1013,8,117.81
ORD-1002,2026-08-26,WestSide Mall,North,SKU-1005,14,91.66
ORD-1003,2026-07-15,downtown central,South,SKU-1010,4,32.26
ORD-1004,2026-06-22,Downtown Central ,East,SKU-1011,20,73.49
ORD-1005,2026-06-22,Downtown Central,West,SKU-1003,13,28.91
ORD-1006,2026-07-19,WestSide Mall,East,SKU-1006,3,21.0
ORD-1007,2026-06-22,Westside Mall,East,SKU-1002,8,217.96
ORD-1008,2026-07-17,North Plaza Inc,East,SKU-1014,12,49.04
ORD-1009,2026-09-03,North Plaza,South,SKU-1008,3,156.19
ORD-1010,2026-07-16,downtown central,South,SKU-1005,15,101.07
ORD-1011,2026-08-10,Metro Center Store,South,SKU-1010,2,64.97
ORD-1012,2026-07-08,Downtown Central,East,SKU-1012,9,25.89
ORD-1013,2026-08-30,North Plaza,South,SKU-INVALID-999,13,222.32
ORD-1014,2026-06-17,Metro Center,South,SKU-1008,5,69.19
ORD-1015,2026-08-22,Metro Center Store,East,SKU-1013,19,105.86
ORD-1016,2026-07-27,Westside Mall,South,SKU-INVALID-999,3,191.39
ORD-1017,2026-08-04,Downtown Central ,South,SKU-1005,14,153.14
ORD-1018,2026-06-25,North Plaza Inc,West,SKU-1014,17,70.34
ORD-1019,2026-09-10,Metro Center Store,North,SKU-1003,18,190.21
ORD-1020,2026-07-19,North Plaza,North,SKU-1009,14,47.96
ORD-1021,2026-06-20,Downtown Central,East,SKU-1005,17,229.03
ORD-1022,2026-08-05,WestSide Mall,South,SKU-1004,12,193.0
ORD-1023,2026-07-11,Metro Center Store,North,SKU-1010,16,14.67
ORD-1024,2026-09-01,North Plaza,East,SKU-1007,2,67.81
ORD-1025,2026-08-13,Downtown Central ,North,SKU-INVALID-999,3,244.72
ORD-1026,2026-08-12,Metro Center Store,South,SKU-1004,16,237.24
ORD-1027,2026-09-06,downtown central,East,SKU-1013,7,232.94
ORD-1028,2026-09-04,Westside Mall,East,SKU-1012,12,115.14
ORD-1029,2026-07-18,Metro Center Store,West,SKU-1003,8,63.93
ORD-1030,2026-08-08,North Plaza,North,SKU-1007,19,62.85
ORD-1031,2026-07-01,Downtown Central ,North,SKU-1007,3,227.3
ORD-1032,2026-08-20,North Plaza,North,SKU-1007,9,170.55
ORD-1033,2026-06-19,Westside Mall,South,SKU-INVALID-999,8,198.31
ORD-1034,2026-06-17,North Plaza Inc,South,SKU-1003,4,168.16
ORD-1035,2026-08-16,North Plaza,West,SKU-1013,15,217.32
ORD-1036,2026-07-05,Downtown Central,North,SKU-1001,13,184.77
ORD-1037,2026-08-27,Downtown Central ,South,SKU-1006,7,138.71
ORD-1038,2026-07-11,downtown central,West,SKU-1005,9,121.03
ORD-1039,2026-06-20,Downtown Central ,West,SKU-1003,2,166.51
ORD-1040,2026-09-04,Metro Center Store,North,SKU-1002,8,49.91
ORD-1041,2026-07-05,Metro Center,West,SKU-1006,13,226.59
ORD-1042,2026-09-05,downtown central,West,SKU-1000,13,73.65
ORD-1043,2026-06-22,Metro Center,East,SKU-1013,18,168.85
ORD-1044,2026-07-19,Metro Center,South,SKU-1006,10,62.25
ORD-1045,2026-07-09,Downtown Central,North,SKU-1010,2,22.03
ORD-1046,2026-07-27,Metro Center,South,SKU-1001,17,29.23
ORD-1047,2026-08-13,downtown central,North,SKU-1002,8,106.91
ORD-1048,2026-09-01,Westside Mall,North,SKU-1002,14,167.77
ORD-1049,2026-07-18,Metro Center Store,East,SKU-1008,7,170.73
ORD-1050,2026-06-28,North Plaza,South,SKU-1008,13,41.41
ORD-1051,2026-07-18,WestSide Mall,West,SKU-1010,3,12.24
ORD-1052,2026-07-17,Downtown Central ,North,SKU-1006,17,73.65
ORD-1053,2026-07-03,North Plaza,North,SKU-1007,12,78.4
ORD-1054,2026-08-17,Metro Center,East,SKU-1000,18,81.85
ORD-1055,2026-07-08,Downtown Central ,South,SKU-1008,4,223.53
ORD-1056,2026-08-20,Metro Center Store,South,SKU-1008,10,155.16
ORD-1057,2026-08-18,North Plaza,South,SKU-1008,17,127.25
ORD-1058,2026-08-14,Downtown Central,North,SKU-1013,9,20.58
ORD-1059,2026-06-19,North Plaza,South,SKU-1008,6,187.9
ORD-1060,2026-08-11,Metro Center Store,West,SKU-1000,4,28.06
ORD-1061,2026-08-13,downtown central,North,SKU-1011,19,142.61
ORD-1062,2026-06-29,North Plaza Inc,South,SKU-1001,10,97.52
ORD-1063,2026-08-03,Downtown Central,East,SKU-1006,8,170.06
ORD-1064,2026-08-22,North Plaza,West,SKU-1004,8,217.51
ORD-1065,2026-07-06,downtown central,West,SKU-1000,6,186.78
ORD-1066,2026-06-28,North Plaza,West,SKU-1007,9,48.21
ORD-1067,2026-07-27,Downtown Central ,West,SKU-1001,16,63.38
ORD-1068,2026-07-19,Metro Center,East,SKU-1009,8,63.5
ORD-1069,2026-07-09,Westside Mall,West,SKU-1010,9,217.44
ORD-1070,2026-09-10,WestSide Mall,East,SKU-1012,18,89.48
ORD-1071,2026-08-14,Downtown Central,North,SKU-1008,6,149.34
ORD-1072,2026-08-18,WestSide Mall,North,SKU-1003,20,114.3
ORD-1073,2026-08-06,North Plaza,West,SKU-1003,13,225.88
ORD-1074,2026-07-04,Westside Mall,East,SKU-1001,14,10.41
ORD-1075,2026-08-18,Metro Center Store,South,SKU-1011,14,26.79
ORD-1076,2026-07-14,North Plaza,East,SKU-1003,10,131.71
ORD-1077,2026-09-02,North Plaza Inc,East,SKU-1012,10,143.06
ORD-1078,2026-08-26,Westside Mall,West,SKU-1012,6,157.72
ORD-1079,2026-08-27,WestSide Mall,West,SKU-1000,10,78.86
ORD-1080,2026-06-18,North Plaza Inc,East,SKU-1014,15,116.12
ORD-1081,2026-07-05,Westside Mall,West,SKU-1005,3,78.11
ORD-1082,2026-08-31,North Plaza,North,SKU-1007,10,63.91
ORD-1083,2026-06-16,Westside Mall,South,SKU-1000,2,68.76
ORD-1084,2026-08-30,Metro Center,North,SKU-1014,14,222.67
ORD-1085,2026-07-13,Westside Mall,West,SKU-INVALID-999,13,68.56
ORD-1086,2026-07-21,Downtown Central,North,SKU-1013,8,52.21
